TITLE,Taq temp test HEPES 10-28-2020,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,20/10/28,,
TIME,20:38:32,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,300,,
LASTX,190,,
NPOINTS,1101,,
FIRSTY,0.69182,,
MAXY,1.20277,,
MINY,-4.83543,,
XYDATA,,,
267.4,0.314823,256.595,0.781477
267.3,0.46883,256.594,0.781473
267.2,0.328371,256.596,0.781487
267.1,0.38323,256.642,0.782052
267,0.31279,256.661,0.782275
266.9,0.312153,256.701,0.782752
266.8,0.347606,256.728,0.783079
266.7,0.342915,256.731,0.783122
266.6,0.302657,256.769,0.783581
266.5,0.336304,256.803,0.783984
266.4,0.347403,256.823,0.784226
266.3,0.376327,256.836,0.784387
266.2,0.2363,256.828,0.784283
266.1,0.224151,256.833,0.784342
266,0.229969,256.846,0.784504
265.9,0.117655,256.853,0.784583
265.8,0.136721,256.896,0.7851
265.7,0.0804854,256.908,0.785254
265.6,-0.00111688,256.925,0.785449
265.5,0.0842234,256.91,0.785275
265.4,0.0662819,256.944,0.785686
265.3,0.0930724,256.955,0.785817
265.2,0.13502,256.976,0.786061
265.1,0.253728,257.008,0.786451
265,0.284771,257.008,0.786449
264.9,0.237831,256.985,0.786179
264.8,0.279946,257.028,0.786691
264.7,0.299518,257.088,0.787413
264.6,0.350524,257.091,0.787447
264.5,0.409997,257.106,0.787626
264.4,0.331379,257.125,0.787858
264.3,0.257695,257.143,0.788078
264.2,0.100504,257.174,0.788442
264.1,0.174285,257.199,0.788752
264,0.282207,257.185,0.788581
263.9,0.257227,257.14,0.788035
263.8,0.211385,257.181,0.788533
263.7,0.155656,257.172,0.788419
263.6,0.175761,257.171,0.788414
263.5,0.131621,257.193,0.788682
263.4,0.0970097,257.192,0.788665
263.3,0.00655183,257.228,0.789101
263.2,-0.00522055,257.256,0.78943
263.1,-0.0588757,257.266,0.789558
263,-0.043239,257.3,0.789961
262.9,-0.0363124,257.347,0.79053
262.8,-0.0496684,257.394,0.791095
262.7,-0.000889065,257.401,0.791181
262.6,0.167188,257.443,0.791682
262.5,0.137546,257.446,0.791718
262.4,0.0662016,257.5,0.792362
262.3,0.0163836,257.539,0.79283
262.2,-0.00349374,257.549,0.792953
262.1,0.010897,257.57,0.793206
262,-0.0616023,257.598,0.793538
261.9,-0.0186312,257.612,0.793708
261.8,-0.183495,257.635,0.793986
261.7,-0.146599,257.639,0.79403
261.6,-0.0329575,257.659,0.794275
261.5,0.123383,257.659,0.794277
261.4,0.196559,257.683,0.794568
261.3,0.1936,257.699,0.794752
261.2,0.250915,257.686,0.794598
261.1,0.337004,257.715,0.794943
261,0.365384,257.734,0.795176
260.9,0.421971,257.76,0.79549
260.8,0.323492,257.767,0.795573
260.7,0.328546,257.797,0.795931
260.6,0.385316,257.794,0.795889
260.5,0.427019,257.801,0.795984
260.4,0.45146,257.847,0.796531
260.3,0.316687,257.868,0.79678
260.2,0.360009,257.878,0.796901
260.1,0.271852,257.935,0.797585
260,0.285316,257.971,0.79802
259.9,0.204221,258.007,0.798454
259.8,0.0937017,258.036,0.7988
259.7,-0.00239345,258.062,0.79911
259.6,-0.110371,258.121,0.799815
259.5,-0.120546,258.138,0.800016
259.4,-0.070135,258.181,0.800539
259.3,0.00932585,258.196,0.800712
259.2,-0.0809834,258.204,0.800813
259.1,-0.0801217,258.234,0.801169
259,-0.0246578,258.231,0.801138
258.9,0.140141,258.301,0.801973
258.8,0.22358,258.339,0.802422
258.7,0.285478,258.384,0.802962
258.6,0.316481,258.409,0.803262
258.5,0.320077,258.418,0.803375
258.4,0.394918,258.479,0.804102
258.3,0.3367,258.526,0.804662
258.2,0.498291,258.557,0.805033
258.1,0.418748,258.599,0.805538
258,0.31497,258.634,0.805962
257.9,0.398692,258.682,0.806533
257.8,0.339751,258.731,0.807126
257.7,0.273241,258.798,0.807921
257.6,0.380818,258.8,0.807947
257.5,0.511759,258.803,0.807983
257.4,0.384247,258.833,0.808337
257.3,0.367629,258.844,0.808467
257.2,0.514663,258.875,0.808845
257.1,0.520609,258.874,0.808836
257,0.402065,258.885,0.808965
256.9,0.385725,258.882,0.80893
256.8,0.334793,258.906,0.809213
256.7,0.324712,258.949,0.809722
256.6,0.250429,258.976,0.810051
256.5,0.251715,258.991,0.810232
256.4,0.20165,259.005,0.810397
256.3,0.184133,259.054,0.810977
256.2,0.165344,259.118,0.811746
256.1,0.199406,259.152,0.812152
256,0.116176,259.184,0.81253
255.9,0.177805,259.22,0.812966
255.8,0.27926,259.252,0.813342
255.7,0.146264,259.285,0.813747
255.6,0.150122,259.318,0.81414
255.5,0.0994996,259.326,0.814227
255.4,0.199198,259.329,0.814264
255.3,0.174859,259.343,0.81443
255.2,0.219401,259.342,0.814422
255.1,0.132332,259.363,0.814672
255,0.0296989,259.396,0.815064
254.9,0.106058,259.4,0.815111
254.8,0.165104,259.428,0.815445
254.7,0.125202,259.467,0.815911
254.6,0.0724474,259.494,0.816238
254.5,0.0766731,259.533,0.816701
254.4,0.180763,259.558,0.816995
254.3,0.198509,259.587,0.817348
254.2,0.217952,259.626,0.817807
254.1,0.218012,259.646,0.818047
254,0.110699,259.687,0.818539
253.9,0.138629,259.712,0.818842
253.8,0.148219,259.746,0.819242
253.7,0.119733,259.785,0.819706
253.6,0.198918,259.806,0.819961
253.5,0.243031,259.842,0.820391
253.4,0.178332,259.88,0.820836
253.3,0.25414,259.91,0.821193
253.2,0.338774,259.924,0.821362
253.1,0.412851,259.961,0.821808
253,0.378368,260,0.822276
252.9,0.403912,260.017,0.822469
252.8,0.318578,260.029,0.822616
252.7,0.220613,260.052,0.822892
252.6,0.290079,260.067,0.823072
252.5,0.286652,260.116,0.823648
252.4,0.224212,260.172,0.824324
252.3,0.218625,260.205,0.824711
252.2,0.201835,260.216,0.82484
252.1,0.281128,260.265,0.825429
252,0.290809,260.344,0.826371
251.9,0.293635,260.372,0.826696
251.8,0.336324,260.379,0.826787
251.7,0.323721,260.415,0.827209
251.6,0.265404,260.429,0.827384
251.5,0.279816,260.44,0.827504
251.4,0.199579,260.483,0.828019
251.3,0.13228,260.494,0.828149
251.2,0.00841056,260.518,0.828433
251.1,0.101964,260.549,0.8288
251,0.157955,260.593,0.829328
250.9,0.0515481,260.594,0.829342
250.8,0.0965249,260.614,0.829576
250.7,0.11214,260.661,0.830139
250.6,0.250239,260.67,0.830247
250.5,0.240272,260.714,0.830768
250.4,0.320418,260.705,0.830656
250.3,0.241905,260.737,0.831045
250.2,0.156021,260.756,0.831269
250.1,0.14852,260.774,0.831482
250,0.138483,260.789,0.831658
249.9,0.0686048,260.793,0.83171
249.8,0.066935,260.789,0.831665
249.7,0.112627,260.802,0.831818
249.6,0.0850484,260.821,0.832036
249.5,0.0999348,260.826,0.832099
249.4,0.0648578,260.808,0.831882
249.3,0.100388,260.82,0.83203
249.2,0.161501,260.87,0.832619
249.1,0.24733,260.877,0.832704
249,0.228249,260.901,0.832993
248.9,0.181178,260.936,0.833407
248.8,0.19723,260.951,0.833583
248.7,0.202174,260.938,0.833431
248.6,0.122618,260.972,0.833828
248.5,-0.0829495,261.009,0.834274
248.4,-0.024294,260.987,0.834011
248.3,-0.0625829,260.999,0.834149
248.2,-0.0855003,260.994,0.834098
248.1,0.0266822,260.974,0.833861
248,0.0218478,260.97,0.833804
247.9,0.135562,260.984,0.833978
247.8,0.309415,261.037,0.834601
247.7,0.417644,261.069,0.834983
247.6,0.394002,261.123,0.835629
247.5,0.318831,261.19,0.836425
247.4,0.203064,261.247,0.837095
247.3,0.281878,261.347,0.838288
247.2,0.187473,261.414,0.839077
247.1,0.212584,261.489,0.839964
247,0.178004,261.556,0.840757
246.9,0.187809,261.554,0.840739
246.8,0.0448447,261.597,0.841243
246.7,-0.0111615,261.64,0.841758
246.6,0.0270717,261.686,0.842307
246.5,0.0809039,261.703,0.84251
246.4,-0.00493794,261.74,0.842943
246.3,0.031003,261.785,0.843474
246.2,-0.0445024,261.81,0.843767
246.1,-0.0727343,261.852,0.844266
246,-0.0248349,261.894,0.844772
245.9,0.159639,261.916,0.845025
245.8,0.128092,261.956,0.8455
245.7,0.156169,261.986,0.845859
245.6,0.13129,262.014,0.846185
245.5,0.115437,262.041,0.84651
245.4,0.184678,262.058,0.846712
245.3,0.163012,262.074,0.846901
245.2,0.0477489,262.115,0.847381
245.1,-0.018006,262.169,0.848023
245,-0.00106148,262.188,0.848252
244.9,0.0334087,262.185,0.848211
244.8,0.0863174,262.194,0.848324
244.7,-0.0911603,262.231,0.848752
244.6,-0.108282,262.255,0.849037
244.5,-0.0831196,262.29,0.84945
244.4,-0.0576113,262.323,0.84984
244.3,-0.0482558,262.34,0.850051
244.2,-0.127347,262.367,0.850362
244.1,-0.0438353,262.395,0.850694
244,-0.00865354,262.402,0.850784
243.9,0.098375,262.438,0.851206
243.8,0.238117,262.492,0.851846
243.7,0.260798,262.53,0.852289
243.6,0.202376,262.563,0.852685
243.5,0.173005,262.595,0.853062
243.4,0.181355,262.652,0.853729
243.3,0.106693,262.701,0.854308
243.2,0.0163201,262.777,0.855212
243.1,-0.150118,262.842,0.855975
243,-0.0970109,262.896,0.856618
242.9,-0.14124,262.911,0.856796
242.8,-0.270462,262.979,0.857597
242.7,-0.246301,263.033,0.858232
242.6,-0.248908,263.096,0.858976
242.5,-0.26396,263.134,0.859418
242.4,-0.237808,263.192,0.860106
242.3,-0.273287,263.246,0.860749
242.2,-0.319313,263.294,0.861317
242.1,-0.329399,263.357,0.862058
242,-0.330288,263.408,0.862651
241.9,-0.300122,263.507,0.863816
241.8,-0.301739,263.564,0.864497
241.7,-0.3809,263.639,0.86538
241.6,-0.340227,263.721,0.866346
241.5,-0.233584,263.779,0.86703
241.4,-0.202202,263.85,0.867863
241.3,-0.168135,263.911,0.868577
241.2,-0.126283,263.974,0.869315
241.1,-0.246248,264.033,0.870014
241,-0.177124,264.107,0.870885
240.9,-0.110048,264.178,0.871714
240.8,-0.08057,264.239,0.872439
240.7,-0.270823,264.312,0.873297
240.6,-0.217731,264.38,0.874093
240.5,-0.15534,264.452,0.874945
240.4,-0.207299,264.525,0.875802
240.3,-0.14742,264.631,0.877042
240.2,-0.153425,264.705,0.877915
240.1,-0.243993,264.792,0.87893
240,-0.155119,264.838,0.879472
239.9,-0.00247252,264.889,0.880065
239.8,-0.0208944,264.988,0.881229
239.7,-0.205629,265.137,0.882974
239.6,-0.194302,265.221,0.883959
239.5,-0.219808,265.303,0.884922
239.4,-0.304641,265.39,0.885941
239.3,-0.378853,265.498,0.887202
239.2,-0.500671,265.613,0.888552
239.1,-0.534234,265.729,0.889909
239,-0.540899,265.803,0.890777
238.9,-0.463177,265.903,0.891946
238.8,-0.532048,266.012,0.893218
238.7,-0.600011,266.147,0.894804
238.6,-0.536861,266.274,0.896287
238.5,-0.660146,266.357,0.897257
