TITLE,SL + BM Corrected Average Protein,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,14:32:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.06098,,
MAXY,57.79573,,
MINY,-68.37383,,
XYDATA,,,
274,-385.811776,207.231,0.133176
273.9,-198.5031845,207.674,0.139537
273.8,-667.2867365,207.893,0.142672
273.7,-379.4985152,208.442,0.150539
273.6,164.8544941,207.433,0.136073
273.5,280.5501173,207.993,0.144101
273.4,451.9519117,208.091,0.145513
273.3,390.2431924,208.274,0.148124
273.2,307.2201867,208.116,0.14587
273.1,-28.66501818,208.73,0.154652
273,-12.04499605,208.116,0.14587
272.9,-544.2050224,207.846,0.142006
272.8,295.1826495,208.62,0.153082
272.7,140.2173676,208.054,0.144977
272.6,-130.1630474,208.887,0.156885
272.5,672.4217155,207.734,0.140398
272.4,688.413419,207.492,0.136919
272.3,669.2181581,207.764,0.14082
272.2,544.7057062,208.525,0.151722
272.1,-153.0252253,208.45,0.150653
272,-613.440971,208.257,0.147881
271.9,-1007.599561,208.291,0.148367
271.8,93.30060132,208.71,0.154361
271.7,-96.5005112,208.223,0.147394
271.6,741.8135863,207.918,0.143029
271.5,-454.2303729,208.689,0.15407
271.4,119.6821858,208.004,0.144263
271.3,127.0098264,208.428,0.150329
271.2,-568.6873657,208.28,0.148221
271.1,-249.682805,208.189,0.146908
271,1217.967299,208.522,0.151673
270.9,-1046.032216,208.933,0.157548
270.8,-422.8092266,207.802,0.141373
270.7,-266.5650646,207.158,0.132118
270.6,642.7524862,207.656,0.139277
270.5,9.515225296,207.927,0.143159
270.4,211.5130725,208.615,0.153001
270.3,-585.8236668,208.995,0.158438
270.2,742.2696061,208.791,0.155526
270.1,-888.8130084,207.805,0.141405
270,59.49425881,208.716,0.154442
269.9,347.4603055,207.848,0.142023
269.8,-150.5539644,208.814,0.15585
269.7,-179.6612161,208.244,0.147703
269.6,318.0842806,208.455,0.150717
269.5,430.6599723,208.282,0.148238
269.4,176.0683967,209.125,0.16028
269.3,-271.5692227,208.835,0.156141
269.2,-271.072112,208.739,0.154782
269.1,-70.14501054,208.503,0.151398
269,284.0916772,208.449,0.150636
268.9,638.8540606,209.455,0.164996
268.8,128.899502,210.328,0.177402
268.7,29.44305072,208.411,0.150085
268.6,-564.9873377,208.728,0.15462
268.5,536.4878862,208.347,0.149178
268.4,-358.1264783,207.789,0.141178
268.3,-695.6486943,208.888,0.156901
268.2,662.5190893,208.822,0.155963
268.1,42.38027036,208.658,0.153617
268,-78.78736667,209.978,0.172429
267.9,-1045.16365,208.653,0.153552
267.8,-239.059614,209.523,0.165964
267.7,105.7811014,208.794,0.155559
267.6,-156.1978752,208.673,0.153827
267.5,-999.7590883,208.176,0.14673
267.4,-0.247289855,208.609,0.15292
267.3,-435.586415,208.822,0.155963
267.2,-208.9643939,209.306,0.162865
267.1,-437.2249895,209.289,0.162623
267,264.6464466,209.689,0.168319
266.9,459.5906522,209.003,0.158551
266.8,373.8063821,209.77,0.16948
266.7,-145.7796028,209.981,0.172477
266.6,-110.8901977,209.543,0.166239
266.5,-1210.904874,209.06,0.159359
266.4,926.7551331,209.953,0.172074
266.3,925.4720843,207.965,0.143711
266.2,-563.4888669,209.534,0.166109
266.1,-105.0024585,209.568,0.166593
266,-228.1769249,209.531,0.166077
265.9,487.9335534,208.848,0.156335
265.8,-119.5566203,209.47,0.165206
265.7,396.1534348,208.956,0.157872
265.6,-36.3815336,208.622,0.153098
265.5,190.910448,209.361,0.163656
265.4,494.0733689,210.394,0.178335
265.3,-746.5457256,209.685,0.168271
265.2,-367.3049368,209.645,0.16769
265.1,-190.2226219,208.476,0.151025
265,304.2414084,209.701,0.168497
264.9,1070.116997,209.513,0.165819
264.8,1090.203008,209.968,0.172284
264.7,-43.27885112,209.024,0.158842
264.6,31.47399868,209.139,0.160491
264.5,836.5955744,210,0.172751
264.4,-557.4915296,209.314,0.162978
264.3,989.7687866,209.319,0.163059
264.2,-244.1825784,209.27,0.162348
264.1,331.3289526,209.617,0.167303
264,519.6978682,210.041,0.17333
263.9,-348.7160646,209.336,0.163301
263.8,250.5789144,209.662,0.167932
263.7,-651.8891094,210.485,0.179637
263.6,-49.41911331,210.259,0.17642
263.5,-98.99782609,209.539,0.16619
263.4,-65.4576693,209.691,0.168351
263.3,-729.4703834,210.407,0.178527
263.2,202.0600791,210.717,0.182914
263.1,293.0762938,209.487,0.165448
263,153.2043281,209.809,0.170028
262.9,-431.94183,210.71,0.182818
262.8,-1601.494039,210.232,0.176034
262.7,-1311.914442,210.701,0.182689
262.6,-404.6145889,209.221,0.161654
262.5,-525.4382385,210.45,0.179138
262.4,-335.9884532,209.445,0.164851
262.3,317.7580843,209.162,0.160814
262.2,952.1170079,209.971,0.172332
262.1,-867.3294901,210.62,0.181549
262,1031.128424,210.7,0.182673
261.9,433.6463881,210.751,0.183396
261.8,340.7739065,211.022,0.187248
261.7,-40.65588142,209.96,0.172171
261.6,-216.9159166,210.257,0.176388
261.5,363.6058617,210.053,0.173491
261.4,-41.27209618,210.645,0.181902
261.3,-207.5982701,210.136,0.174683
261.2,442.4201458,210.159,0.175005
261.1,52.70564163,211.575,0.195067
261,139.2713834,210.643,0.18187
260.9,409.9671265,210.178,0.175278
260.8,29.97714321,210.127,0.174554
260.7,-591.0756061,209.566,0.166577
260.6,-573.1090527,210.626,0.181629
260.5,63.22353871,210.958,0.186333
260.4,-190.7789868,210.429,0.178833
260.3,40.92118577,209.465,0.165125
260.2,-268.4728142,211.927,0.200025
260.1,-341.52322,211.52,0.194283
260,-291.5708182,210.831,0.184536
259.9,-607.2822477,211.417,0.192826
259.8,-388.0503373,211.113,0.188531
259.7,-107.1697062,210.598,0.181228
259.6,-193.4260751,209.936,0.171832
259.5,1045.430889,211.904,0.199706
259.4,678.0875415,210.975,0.186574
259.3,40.03505138,210.642,0.181854
259.2,-198.1430584,211.378,0.192281
259.1,818.4561713,210.633,0.181726
259,517.561141,210.69,0.182545
258.9,-44.56725955,209.911,0.171478
258.8,-563.0270706,210.072,0.173765
258.7,-244.3981866,211.371,0.192185
258.6,137.5444933,210.468,0.179396
258.5,360.1380123,211.16,0.189188
258.4,-283.0606825,211.173,0.189381
258.3,540.0256601,210.836,0.1846
258.2,42.02751383,210.842,0.184696
258.1,659.4647246,210.423,0.178752
258,-168.807112,211.327,0.19156
257.9,1080.860632,210.475,0.179492
257.8,208.6196769,209.87,0.170898
257.7,277.8307477,211.599,0.195403
257.6,626.6428995,210.973,0.186542
257.5,-59.10745639,211.022,0.187248
257.4,-796.0128229,211.37,0.192169
257.3,-331.4395258,210.397,0.178383
257.2,227.6161084,211.834,0.198714
257.1,872.2429951,210.355,0.177788
257,125.3832516,210.995,0.186863
256.9,188.6199275,211.8,0.198235
256.8,476.6163577,212.474,0.207737
256.7,-161.8676614,211.366,0.192105
256.6,-528.2248274,210.976,0.18659
256.5,149.0486377,212.958,0.214542
256.4,-661.192776,211.405,0.192665
256.3,720.3981806,212.166,0.203396
256.2,258.1881765,211.145,0.18898
256.1,484.1202872,211.42,0.192873
256,-359.1031318,212.052,0.201799
255.9,-117.0181252,210.628,0.181661
255.8,425.304219,212.52,0.208391
255.7,276.121083,212.942,0.214319
255.6,-614.876473,211.643,0.196027
255.5,131.94678,212.406,0.20678
255.4,879.8710013,211.303,0.191224
255.3,111.602656,211.889,0.199498
255.2,-156.2974611,211.855,0.199018
255.1,-737.1278827,212.611,0.209667
255,1109.510375,211.903,0.199689
254.9,734.0357323,212.442,0.207291
254.8,89.54274835,212.344,0.205902
254.7,49.42745059,212.525,0.208455
254.6,-190.2153267,212.467,0.207642
254.5,431.3130498,211.936,0.200153
254.4,109.0913017,211.428,0.192986
254.3,-442.195054,212.405,0.206764
254.2,616.4642793,211.896,0.199594
