TITLE,class,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGIN,JASCO,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,21/09/28,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,16:11:38,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTROMETER/DATA SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCALE,1033,,,,,,,,,,,,,,,,,,,,,,,,,,
RESOLUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELTAX,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
XUNITS,NANOMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNITS,CD [mdeg],,,,,,,,,,,,,,,,,,,,,,,,,,
Y2UNITS,HT [V],,,,,,,,,,,,,,,,,,,,,,,,,,
Y3UNITS,ABSORBANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTX,260,,,,,,,,,,,,,,,,,,,,,,,,,,
LASTX,190,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOINTS,701,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTY,0.17797,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXY,12.60967,,,,,,,,,,,,,,,,,,,,,,,,,,
MINY,-5.51119,,,,,,,,,,,,,,,,,,,,,,,,,,
XYDATA,,,,,,,,,,pro. + buffer,,,,,,,,,buffer,,,,,,,,
254.9,0.310357,253.445,0.743339,0.310357,253.445,0.743339,0.461369,253.463,0.743558,1.86057,253.712,0.746596,0.589021,253.589,0.745095,-0.021964,253.581,0.745002,0.908451,253.304,0.741626,0.20688,252.989,0.737796,0.486859,253.267,0.741174
254.8,-0.245305,253.7,0.746451,-0.245305,253.7,0.746451,0.286191,253.806,0.747729,1.15465,253.617,0.745435,0.310458,253.531,0.744393,-0.427485,253.624,0.745521,1.83943,253.558,0.744715,0.491903,253.047,0.738499,0.710981,253.203,0.740403
254.7,0.407726,253.617,0.745437,0.407726,253.617,0.745437,-0.289876,253.333,0.741985,0.403471,253.571,0.744873,-0.128879,253.593,0.745139,-0.571082,253.698,0.746425,1.11875,252.988,0.737784,-0.112675,252.846,0.73605,0.809778,253.243,0.740886
254.6,0.149956,253.403,0.742831,0.149956,253.403,0.742831,0.654684,253.47,0.743643,1.23986,253.617,0.74544,0.302309,253.973,0.749763,0.701044,253.688,0.746303,1.39252,253.087,0.73899,0.580883,252.909,0.73681,1.33847,253.084,0.738947
254.5,-0.934876,253.623,0.745511,-0.934876,253.623,0.745511,0.948873,253.598,0.745204,0.709949,253.818,0.747877,0.574274,253.808,0.747758,1.14475,253.59,0.745113,0.849056,252.954,0.737359,1.80206,253.841,0.748154,0.702839,252.991,0.737818
254.4,-0.909577,253.263,0.741128,-0.909577,253.263,0.741128,0.335849,253.228,0.740702,0.913541,253.648,0.745812,0.630396,253.56,0.744741,-0.287495,253.782,0.747446,-0.233305,253.103,0.73918,1.02636,253.387,0.742635,0.378972,253.398,0.742767
254.3,1.61285,253.666,0.746038,1.61285,253.666,0.746038,-0.247812,253.627,0.745557,0.948551,253.787,0.747503,0.859919,253.749,0.747038,1.37388,253.648,0.745819,0.255794,253.207,0.740451,0.459932,253.413,0.742955,0.90526,253.286,0.741412
254.2,-0.110791,253.651,0.745853,-0.110791,253.651,0.745853,1.31852,253.842,0.748176,0.301619,253.714,0.746621,0.643248,253.971,0.749744,-0.426852,253.577,0.744947,1.13025,252.64,0.733539,0.498935,253.563,0.744777,0.258347,253.081,0.738906
254.1,0.187138,253.564,0.744794,0.187138,253.564,0.744794,-0.194102,253.397,0.742766,1.4378,253.842,0.748168,0.736558,253.789,0.747524,0.127006,253.731,0.746826,1.07961,253.483,0.743812,0.202129,253.057,0.738623,0.175958,253.242,0.740867
254,1.16683,253.92,0.749125,1.16683,253.92,0.749125,0.334736,253.627,0.745562,0.238553,253.674,0.746126,1.22598,253.679,0.746186,0.65001,253.948,0.749457,-0.260573,253.325,0.741881,0.770696,253.265,0.741159,1.56362,253.328,0.741917
253.9,-0.145367,253.653,0.745879,-0.145367,253.653,0.745879,0.494507,253.696,0.746396,1.07265,253.709,0.746554,0.207392,253.78,0.74742,0.596966,253.82,0.747903,0.954998,252.887,0.73655,-0.0754731,253.772,0.747324,0.0738339,253.413,0.74295
253.8,0.18696,253.755,0.747114,0.18696,253.755,0.747114,-0.0810451,253.531,0.744386,0.107168,253.99,0.749969,0.0538876,253.958,0.749581,1.45113,253.878,0.748612,1.14291,253.17,0.740001,0.191778,252.827,0.735812,1.18746,253.456,0.743477
253.7,0.245912,253.616,0.745428,0.245912,253.616,0.745428,0.32898,253.766,0.747245,1.28771,253.685,0.74626,0.3201,253.923,0.749161,0.528795,254.026,0.75041,-0.104403,253.494,0.743938,0.547214,253.563,0.744785,-0.0425982,253.469,0.743634
253.6,0.190125,253.808,0.747758,0.190125,253.808,0.747758,0.681186,254.272,0.753388,1.09723,253.968,0.749708,0.26099,254.167,0.752116,0.154746,253.917,0.749078,1.10965,253.321,0.741833,-0.130278,253.281,0.741352,0.582034,253.35,0.74219
253.5,0.461661,253.571,0.744879,0.461661,253.571,0.744879,0.339377,253.522,0.744281,0.337629,254.045,0.750642,-0.2321,253.942,0.749383,0.225728,254.088,0.75116,-0.0254345,252.9,0.736703,0.697543,253.533,0.744418,0.353739,253.547,0.744582
253.4,0.811825,254.012,0.750234,0.811825,254.012,0.750234,0.199249,253.507,0.744095,-0.272274,253.968,0.749704,0.00728398,253.923,0.749155,1.04021,253.919,0.749107,0.644671,253.632,0.745621,0.633163,253.509,0.744119,0.756721,253.979,0.749832
253.3,0.0162821,253.799,0.747644,0.0162821,253.799,0.747644,-0.163855,253.888,0.748727,0.0494525,253.872,0.748532,0.592262,253.892,0.748779,0.774822,254.243,0.753048,0.335005,253.354,0.742238,0.530282,253.322,0.741852,0.157513,253.691,0.746339
253.2,1.02182,253.804,0.747708,1.02182,253.804,0.747708,1.11647,253.664,0.746012,0.394749,253.97,0.749732,1.2448,253.859,0.748379,0.378428,254.153,0.751951,0.0478748,253.847,0.748231,-0.872169,253.43,0.74316,0.619541,253.093,0.739063
253.1,0.736393,253.951,0.749501,0.736393,253.951,0.749501,0.854233,253.809,0.747768,0.0115138,253.928,0.749212,1.17664,254.03,0.750456,0.171444,253.853,0.748309,0.977292,253.334,0.741998,0.533419,253.474,0.743696,1.06174,253.379,0.74254
