TITLE,KMGM_BUFFER&PROTEIN_928_Averages
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/28
TIME,15:18:43
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,1.27862
MAXY,49.95761
MINY,-56.57431
XYDATA,
228.3,-36.8481646
228.2,-38.613384
228.1,-39.74988266
228,-41.25930033
227.9,-39.32755926
227.8,-38.81111
227.7,-41.452481
227.6,-40.23182333
227.5,-41.240817
227.4,-40.34442
227.3,-41.501038
227.2,-42.461637
227.1,-40.97333147
227,-41.38149333
226.9,-40.453129
226.8,-42.51526333
226.7,-41.38995
226.6,-42.89221933
226.5,-41.69229933
226.4,-44.28521333
226.3,-44.06580733
226.2,-43.791924
226.1,-42.123666
226,-42.72146333
225.9,-45.219708
225.8,-42.76557177
225.7,-45.37101567
225.6,-46.03473936
225.5,-44.63276967
225.4,-46.1134099
225.3,-45.05600267
225.2,-45.034719
225.1,-46.44692534
225,-46.614889
224.9,-47.93816067
224.8,-46.56256667
224.7,-46.416849
224.6,-46.07554033
224.5,-47.87174353
224.4,-49.16157133
224.3,-46.74425066
224.2,-47.52365334
224.1,-47.30591267
224,-47.85496633
223.9,-49.35712666
223.8,-50.21321334
223.7,-49.200407
223.6,-47.123766
223.5,-47.72545667
223.4,-47.314128
223.3,-49.16736467
223.2,-49.28373733
223.1,-48.93150566
223,-48.84070666
222.9,-47.330355
222.8,-48.70257634
222.7,-47.98969733
222.6,-50.100664
222.5,-49.36508
222.4,-50.52334
222.3,-50.80849933
222.2,-50.36282433
222.1,-48.86413734
222,-49.472465
221.9,-46.81907666
221.8,-47.81756833
221.7,-48.91949734
221.6,-48.05662567
221.5,-51.634992
221.4,-47.69939067
221.3,-51.97069
221.2,-48.75248533
221.1,-49.907622
221,-49.33777366
220.9,-50.621855
220.8,-49.624212
220.7,-50.66179067
220.6,-50.430843
220.5,-48.016557
220.4,-51.66813667
220.3,-49.827986
220.2,-50.65695066
220.1,-49.56030667
220,-48.81373167
219.9,-51.98953433
219.8,-51.25117666
219.7,-47.265451
219.6,-49.11250667
219.5,-47.88472266
219.4,-51.75044667
219.3,-50.1919104
219.2,-50.6042969
219.1,-48.93858667
219,-51.32424333
218.9,-50.43488134
218.8,-49.16109333
218.7,-48.91996934
218.6,-48.75139666
218.5,-48.61743634
218.4,-48.32038333
218.3,-49.15002066
218.2,-47.31054233
218.1,-49.10707834
218,-50.32694234
217.9,-48.44006
217.8,-49.979623
217.7,-50.23450667
217.6,-49.61074667
217.5,-49.60377333
217.4,-49.39110454
217.3,-49.41282333
217.2,-50.4252886
217.1,-48.910298
217,-46.89677267
216.9,-48.573446
216.8,-46.34357733
216.7,-49.87973734
216.6,-48.54427667
216.5,-47.39288333
216.4,-49.31341
216.3,-48.69162837
216.2,-48.93927767
216.1,-48.18320333
216,-46.91069
215.9,-48.71069334
215.8,-48.37220266
215.7,-46.69038066
215.6,-50.64539667
215.5,-47.58452066
215.4,-48.92902667
215.3,-49.96838333
215.2,-47.406814
215.1,-45.79539436
215,-46.43899933
214.9,-47.89705967
214.8,-47.58518933
214.7,-45.48469
214.6,-46.87986
214.5,-51.17915333
214.4,-47.55439734
214.3,-48.47271
214.2,-46.902437
214.1,-50.317553
214,-47.459363
213.9,-48.91317733
213.8,-49.09258
213.7,-48.769878
213.6,-50.03973334
213.5,-49.65759733
213.4,-50.111317
213.3,-48.365349
213.2,-49.22396433
213.1,-49.155538
213,-50.64929333
212.9,-46.21371667
212.8,-51.71407333
212.7,-49.15601567
212.6,-51.841434
212.5,-50.32396133
212.4,-49.19675334
212.3,-48.17338133
212.2,-50.00215254
212.1,-50.442203
212,-50.93445134
211.9,-48.59150834
211.8,-51.62761866
211.7,-51.33066
211.6,-49.97079434
211.5,-49.531177
211.4,-51.54117933
211.3,-51.788747
211.2,-53.73905034
211.1,-51.68076666
211,-49.96491934
210.9,-48.72577866
210.8,-51.192571
210.7,-53.44738
210.6,-50.98111333
210.5,-52.0424
210.4,-52.09677234
210.3,-52.40023334
210.2,-53.66205333
210.1,-51.80454866
210,-55.22034033
209.9,-54.71578333
209.8,-51.79823133
209.7,-53.839336
209.6,-54.707622
209.5,-50.82753334
209.4,-50.91357967
209.3,-53.26141733
209.2,-54.96907213
209.1,-54.84241666
209,-54.85916
208.9,-52.43467667
208.8,-53.48132234
208.7,-52.95478233
208.6,-51.71704667
208.5,-49.98976667
208.4,-51.741067
208.3,-52.8220368
208.2,-52.79654
208.1,-52.54608733
208,-53.96079433
207.9,-56.70944
207.8,-51.63374767
207.7,-53.54372667
207.6,-50.04557334
207.5,-48.65583557
207.4,-51.06576677
207.3,-52.07704
207.2,-49.402717
207.1,-46.812787
207,-49.86899573
206.9,-45.04965633
206.8,-46.47034666
206.7,-46.37821733
