TITLE,ds + JL Protein and buffer,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,15:32:57,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.24368,,
MAXY,47.00092,,
MINY,-74.42773,,
XYDATA,,,
261.9,-2.069582333,210.288,0.176839
261.8,-0.9217445,210.791,0.183974
261.7,-1.198649,210.538,0.180376
261.6,-0.958754667,210.619,0.181533
261.5,-0.146111667,210.768,0.183637
261.4,0.138279533,210.709,0.182802
261.3,-0.671798277,210.227,0.17597
261.2,-1.099643667,210.636,0.181774
261.1,-0.132442,211.249,0.190454
261,-0.915631,211.071,0.187937
260.9,-1.690653667,212.247,0.204546
260.8,-0.624219,211.442,0.193178
260.7,0.232965333,210.884,0.18529
260.6,-1.006718,211.516,0.194234
260.5,1.4014723,211.211,0.189909
260.4,-1.295618333,212.015,0.201272
260.3,-1.14617,210.496,0.179781
260.2,-1.660126667,210.96,0.186365
260.1,-0.5075,211.233,0.19023
260,-0.2421718,210.849,0.184793
259.9,-1.335105,211.426,0.192953
259.8,-2.455029667,211.408,0.192697
259.7,-2.402527333,210.49,0.179701
259.6,-1.833672233,211.91,0.199786
259.5,-0.584973,211.016,0.187152
259.4,-0.191339667,211.635,0.195915
259.3,-1.469532333,211.825,0.198587
259.2,-0.404709467,211.497,0.193962
259.1,-2.348143,211.681,0.196555
259,0.639336867,211.659,0.196251
258.9,-1.372098667,211.895,0.199578
258.8,-1.178037233,212.415,0.206908
258.7,-2.45582,211.111,0.188499
258.6,0.181514163,212.505,0.208168
258.5,-1.286921,212.323,0.205615
258.4,-1.318976667,212.191,0.203747
258.3,-1.298979,211.323,0.191496
258.2,-1.968392367,211.616,0.195643
258.1,-0.285116267,211.224,0.190102
258,-0.674546,212.12,0.202758
257.9,-0.647579333,211.767,0.197771
257.8,1.014407,212.834,0.212806
257.7,-0.772125667,211.654,0.196171
257.6,-0.199403,212.707,0.211021
257.5,-0.112040667,211.019,0.187199
257.4,-0.408097667,213.011,0.21529
257.3,-1.022645667,212.011,0.201208
257.2,-0.464986333,211.792,0.198123
257.1,0.580486333,212.374,0.206333
257,-1.933470633,212.287,0.205104
256.9,-0.2327876,212.535,0.208598
256.8,-0.717644333,212.225,0.204226
256.7,0.09988847,212.379,0.206397
256.6,-0.8374445,211.829,0.19865
256.5,-1.6948452,212.158,0.203284
256.4,-1.3502,212.951,0.214446
256.3,-1.329886937,213.827,0.226732
256.2,0.032847,212.208,0.203987
256.1,-2.466930667,212.176,0.20354
256,-0.729528733,210.686,0.182481
255.9,-1.669898033,212.89,0.213586
255.8,-0.922094667,212.316,0.205519
255.7,-1.637053,212.02,0.201336
255.6,-0.75105,212.421,0.206988
255.5,-2.225727067,212.109,0.202598
255.4,-0.943997667,212.486,0.207913
255.3,0.127117767,212.422,0.207003
255.2,-1.894242333,212.1,0.20247
