TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_CONTROL,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,13:58:08,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.19391,,
MAXY,6.42178,,
MINY,-3.32288,,
XYDATA,,,
267.3,0.5362047333,206.8,0.126968
267.2,0.22547,207.571,0.138057
267.1,0.7542423333,207.545,0.137683
267,-0.128106,207.807,0.141438
266.9,0.3073956667,206.886,0.128207
266.8,0.8081316667,207.104,0.131352
266.7,0.820825,207.844,0.141974
266.6,0.8139186667,207.614,0.138675
266.5,-0.407715,208.377,0.149599
266.4,0.726408,206.614,0.124292
266.3,0.8226070333,207.45,0.136317
266.2,0.184614,207.675,0.139553
266.1,0.362558,207.911,0.142932
266,0.7161566667,207.565,0.137976
265.9,-0.0312007,208.072,0.145237
265.8,0.897288,207.697,0.139862
265.7,1.089165,207.544,0.137667
265.6,0.4471836333,207.829,0.141762
265.5,0.2832698333,208.377,0.149599
265.4,1.079445333,207.798,0.141308
265.3,1.222350333,207.121,0.131597
265.2,0.9340066667,207.633,0.138952
265.1,1.053241,207.993,0.144101
265,1.078541333,207.274,0.133795
264.9,0.5122873333,207.995,0.144133
264.8,0.2394003333,207.528,0.137439
264.7,0.104159,207.775,0.140983
264.6,1.026380067,207.52,0.137326
264.5,0.6527216667,208.143,0.146259
264.4,0.1400996667,208.06,0.145058
264.3,0.3826279,207.309,0.1343
264.2,0.9282626667,207.655,0.13926
264.1,1.140012,208.066,0.145156
264,0.645205,207.948,0.143468
263.9,0.9756513333,208.164,0.146551
263.8,-0.2247153333,207.945,0.143419
263.7,1.272721567,208.62,0.153082
263.6,1.000981667,207.792,0.141227
263.5,0.4599693,208.337,0.149032
263.4,0.712493,208.19,0.146924
