TITLE,KMGM_BUFFER&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:18:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.27862,,
MAXY,49.95761,,
MINY,-56.57431,,
XYDATA,,,
268.3,1.332811333,208.0976667,0.1456036667
268.2,1.419413333,208.629,0.153195
268.1,0.6997176667,208.1963333,0.1470083333
268,1.944126667,208.1246667,0.1459813333
267.9,0.3243491333,208.7396667,0.1547743333
267.8,0.4372456,208.8406667,0.1562213333
267.7,0.5519246667,208.2876667,0.1483193333
267.6,0.2375,208.087,0.1454496667
267.5,-0.4134393333,208.192,0.1469556667
267.4,-0.06353666667,208.5046667,0.1514243333
267.3,0.204379,207.6846667,0.1396863333
267.2,0.3489431667,208.3723333,0.1495183333
267.1,0.3266126667,208.2216667,0.147383
267,0.9200619367,208.332,0.1489543333
266.9,0.1606493333,208.829,0.15606
266.8,1.334645333,208.3266667,0.1488773333
266.7,-0.2482733333,208.7213333,0.1545153333
266.6,0.6004575667,208.3893333,0.1497763333
266.5,-0.395648,208.3393333,0.149061
266.4,0.2064173333,208.4763333,0.151025
266.3,0.73135,208.3846667,0.1497126667
266.2,0.5359726667,208.729,0.1546346667
266.1,-0.1094456667,208.3496667,0.1492073333
266,0.5313066667,208.4516667,0.150665
265.9,1.100314,208.9593333,0.1579203333
265.8,0.8582813667,208.843,0.1562646667
265.7,0.293165,208.9746667,0.1581386667
265.6,0.4337302667,208.684,0.1539863333
265.5,0.1431973333,208.9453333,0.15772
265.4,-0.1857886667,208.8773333,0.1567486667
265.3,-0.489359,208.8906667,0.1569443333
265.2,0.06435666667,208.9866667,0.1583053333
265.1,0.04884133333,208.6953333,0.154148
265,0.4845163667,209.053,0.1592506667
264.9,0.2818066667,208.6103333,0.1529353333
264.8,0.5688476667,208.97,0.1580736667
264.7,0.3401696667,209.1173333,0.1601766667
264.6,-0.3412513333,208.9373333,0.1576066667
264.5,-0.4032047,208.6693333,0.1537806667
264.4,0.86005,208.414,0.1501326667
264.3,-0.7880816667,208.881,0.156803
264.2,0.852014,209.0676667,0.1594676667
264.1,0.2453563333,209.424,0.164544
264,0.0556437,209.0943333,0.159844
263.9,0.771812,209.4993333,0.1656153333
263.8,-0.362125,209.0073333,0.1586086667
263.7,0.01433533333,209.5016667,0.165644
263.6,0.3865043333,209.168,0.160896
263.5,-0.4819931333,209.675,0.1681196667
263.4,-0.4613488667,209.5356667,0.1661336667
263.3,1.195899533,209.431,0.16464
263.2,0.6512446667,209.1656667,0.160867
263.1,-0.2430696667,209.55,0.1663336667
263,-0.1751223333,209.51,0.1657683333
262.9,0.1273443333,209.2936667,0.162685
262.8,0.8202523333,209.5056667,0.165707
262.7,1.137981667,209.0946667,0.159852
262.6,0.1342237733,209.8776667,0.1710016667
262.5,0.7932476667,209.281,0.1625073333
262.4,-0.2335942,209.649,0.1677436667
262.3,0.05971726667,209.7396667,0.169043
262.2,0.6000613333,209.546,0.1662823333
262.1,0.008805333333,209.4976667,0.1655916667
262,-0.3283003667,209.5413333,0.16622
261.9,-0.3836700333,210.2026667,0.175618
261.8,0.0436078,209.3463333,0.163424
261.7,0.1703889,209.8636667,0.170803
