TITLE,TB TH  KD_ Buffer and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:01:55,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.10152,,
MAXY,24.87453,,
MINY,-18.08336,,
XYDATA,,,
284.2,1.002122133,206.7463333,0.1261946667
284.1,0.865173,207.0663333,0.1307993333
284,1.031227,206.99,0.1297016667
283.9,0.3109951333,207.2836667,0.1339156667
283.8,1.746963667,206.71,0.1255927
283.7,-0.00323,207.101,0.1312996667
283.6,0.7725096667,207.2663333,0.1336733333
283.5,0.8156186667,207.1553333,0.13208
283.4,0.4254573333,207.7443333,0.140538
283.3,0.7747333333,207.351,0.134892
283.2,1.433236667,206.9193333,0.1286823333
283.1,1.938800667,207.02,0.1301273333
283,0.4628626667,207.206,0.1327996667
282.9,1.084997333,207.5113333,0.137194
282.8,1.270229667,207.4553333,0.1363863333
282.7,1.545826667,207.275,0.133778
282.6,1.048523667,207.1936667,0.1326383333
282.5,0.3985596667,206.3643333,0.1206953333
282.4,0.269564,206.3943333,0.1211276667
282.3,1.331481,207.6036667,0.138499
282.2,-0.6224256667,207.0516667,0.1305543333
282.1,1.322836667,207.0366667,0.130362
282,0.9703666667,206.7436667,0.126145
281.9,1.046721667,207.2153333,0.1329423333
281.8,1.535714667,207.8983333,0.1427456667
281.7,-0.4907327667,206.4556667,0.1220056667
281.6,0.807301,206.3663333,0.120698
281.5,0.173779,206.8803333,0.1280903333
281.4,1.175089,206.537,0.1231713333
281.3,1.259114,206.683,0.1252926667
281.2,1.258593333,206.932,0.1288693333
281.1,1.031502333,206.3416667,0.1203686667
281,0.2068916667,206.9086667,0.1285363333
280.9,1.362615333,206.671,0.1251186667
280.8,0.6283766667,207.079,0.1309846667
280.7,0.9519736667,207.1716667,0.1323066667
280.6,0.466664,207.5166667,0.1372703333
280.5,0.4728496,206.7956667,0.1269056667
280.4,1.432206333,206.3793333,0.120898
280.3,1.433255667,207.377,0.1352626667
280.2,0.7862166667,206.8516667,0.1277036667
280.1,1.270583467,206.6876667,0.125354
280,1.59886,207.1206667,0.1315813333
279.9,1.1453262,207.028,0.130247
279.8,0.715718,207.54,0.13761
279.7,1.503230733,206.7276667,0.125922
279.6,0.7467026667,206.6206667,0.124362
279.5,0.2817553333,207.7033333,0.1399466667
279.4,1.587166667,206.8793333,0.1281106667
279.3,-0.4229546,207.377,0.135267
279.2,0.6907373333,207.1483333,0.1319863333
279.1,1.36047,207.0396667,0.130416
279,0.2702859,207.5606667,0.1379036667
278.9,0.6632266767,206.8863333,0.1282143333
278.8,2.033043333,207.9573333,0.1435903333
278.7,0.877756,206.9776667,0.129531
278.6,0.5082566667,206.248,0.1189993333
278.5,1.305280667,207.7396667,0.1404586667
278.4,-0.002607,207.2043333,0.1327823333
278.3,0.346965,206.678,0.125211
278.2,0.8422306667,207.0343333,0.1303286667
278.1,-0.2725328667,207.6133333,0.1386583333
278,0.924062,206.684,0.1253033333
277.9,0.6293663,207.083,0.1310426667
277.8,0.962033,207.263,0.1336376667
277.7,-0.3861953333,207.2083333,0.132842
277.6,0.2622245333,207.45,0.1363163333
277.5,0.2434863333,207.113,0.1314803333
277.4,1.099558667,207.117,0.131536
277.3,2.05664,208.2206667,0.1473616667
277.2,0.895456,206.8303333,0.127413
277.1,1.112888,207.2223333,0.1330403333
277,0.1181943333,207.8173333,0.1415886667
276.9,0.8838137333,207.257,0.13354
276.8,1.127070333,206.608,0.124203
276.7,0.7786953333,206.51,0.1227943333
276.6,1.679349,207.7903333,0.141199
276.5,0.9386933333,207.465,0.136516
276.4,1.419490667,206.588,0.1239126667
276.3,1.592400333,207.1203333,0.1315703333
276.2,1.431865667,207.0896667,0.1311016667
276.1,1.063296333,207.6703333,0.1394826667
276,0.928833,207.432,0.1360536667
275.9,0.3171059333,206.943,0.1290326667
275.8,0.07080722,207.323,0.1344976667
275.7,1.340023667,206.987,0.1296646667
275.6,0.6662773333,207.3006667,0.1341676667
