TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
285.4,-259332.9012,-68.45687,-2.771287667
285.3,-183224.5418,-68.27443033,-2.774336667
285.2,-143516.9125,-68.35649093,-2.776486
285.1,-507327.224,-69.124522,-2.785353
285,-144020.7123,-68.42517567,-2.779937333
284.9,-461097.1539,-68.33074667,-2.765966367
284.8,-731624.661,-68.56169,-2.775366667
284.7,183066.4283,-68.83811333,-2.776659333
284.6,179808.0808,-67.90753607,-2.770150333
284.5,275867.0243,-67.822745,-2.766687333
284.4,-81762.92654,-68.38648,-2.770782
284.3,-201790.6124,-68.01626367,-2.768597333
284.2,-307767.4415,-68.00385967,-2.76816
284.1,-561838.0271,-67.92611733,-2.769233
284,-376035.7622,-67.85190367,-2.772778333
283.9,-121449.024,-68.97726667,-2.778370667
283.8,-672447.2657,-68.234155,-2.7717777
283.7,226350.6184,-68.44434433,-2.781058333
283.6,-74267.47132,-68.151775,-2.774670667
283.5,-206406.7948,-68.77007433,-2.780065667
283.4,183548.0554,-69.23206933,-2.785036
283.3,119967.963,-68.35151933,-2.774114667
283.2,-338338.3996,-68.36104433,-2.775084
283.1,-545240.9477,-68.02484533,-2.770341667
283,-318320.9656,-68.70001503,-2.780850667
282.9,-211344.807,-68.66612567,-2.776312667
282.8,-1035569.2,-68.79327133,-2.781597667
282.7,-536403.7908,-68.30002867,-2.774588667
282.6,-261234.2423,-67.883631,-2.774223333
282.5,-302420.8017,-67.72447933,-2.762626
282.4,392494.2632,-67.63461967,-2.764495667
282.3,-347474.4449,-68.52942633,-2.777761333
282.2,763902.9504,-68.36110433,-2.773268667
282.1,-441218.4026,-68.23597167,-2.774277667
282,-178615.5565,-68.14296767,-2.772681667
281.9,-429122.6345,-67.80818333,-2.772966333
281.8,-640416.7784,-68.53722767,-2.777974
281.7,333613.2916,-67.0078818,-2.756609
281.6,174047.8319,-67.119657,-2.762051667
281.5,-55020.26524,-68.30244333,-2.770065
281.4,-494191.0297,-68.25861,-2.766169
281.3,-549932.9459,-67.49371467,-2.766932
281.2,-328878.1106,-67.736696,-2.769283
281.1,-167062.4348,-66.9601961,-2.75612
281,357851.5869,-68.38069,-2.771396333
280.9,-599598.6142,-67.98044133,-2.769417333
280.8,-60430.33825,-68.81411233,-2.780283333
280.7,-185688.571,-68.24347067,-2.772327
280.6,45137.6397,-69.11905667,-2.779914333
280.5,-857182.0146,-68.06293,-2.770622667
280.4,-360884.965,-68.146196,-2.768985333
280.3,-504053.3453,-68.83456333,-2.779674
280.2,-312102.5183,-68.6209,-2.774140333
280.1,-594919.2967,-66.929897,-2.755093333
280,-784454.4181,-67.789703,-2.766453333
279.9,-407966.7114,-68.695325,-2.777980333
279.8,-191341.5288,-69.01819733,-2.788426
279.7,-664855.044,-68.02914633,-2.769782
279.6,-241303.3825,-67.99910167,-2.772011333
279.5,-256808.5233,-69.18550367,-2.783741333
279.4,-560168.2313,-67.93262233,-2.771645
279.3,383819.0285,-68.92559667,-2.776230333
279.2,-489570.8538,-68.44755033,-2.776011
279.1,-423243.1381,-68.23052633,-2.771425667
279,467360.9447,-68.722675,-2.778118333
278.9,-223031.4335,-67.99995393,-2.771188
278.8,-677831.7687,-68.96759567,-2.782212667
278.7,-335799.2848,-68.093022,-2.768552667
278.6,-168502.7567,-67.251962,-2.756797333
278.5,-574814.3198,-68.847675,-2.779895667
