TITLE,CC.SJ.9_28_22_ADDITIVE_KCL_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:21:11,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.05716,,
MAXY,63.3399,,
MINY,-41.84982,,
XYDATA,,,
276.5,1.050951667,207.04,0.130424
276.4,-0.1923216667,207.248,0.133421
276.3,0.54874,207.68,0.139618
276.2,1.234879333,206.957,0.129234
276.1,0.9788953333,207.092,0.131173
276,1.95745,208.024,0.144555
275.9,0.9767376667,207.065,0.130782
275.8,0.4960536667,207.522,0.137358
275.7,1.181291667,207.178,0.132411
275.6,1.165775667,207.168,0.132265
275.5,1.365121333,207.759,0.140755
275.4,1.162597333,207.13,0.131727
275.3,0.692312,207.565,0.137976
275.2,0.475467,208.164,0.146551
275.1,0.6838733333,207.614,0.138675
275,0.9357283333,207.878,0.142461
274.9,0.7346533333,207.552,0.137781
274.8,0.7319256667,207.698,0.139878
274.7,1.240366333,207.542,0.137635
274.6,1.141846667,207.584,0.138236
274.5,0.749251,207.09,0.131141
274.4,-0.208203,207.451,0.136334
274.3,0.162372,207.398,0.135569
274.2,1.595217667,208.615,0.153001
274.1,0.7585519333,207.256,0.133534
274,0.3362163667,207.281,0.133893
273.9,1.08003,207.286,0.133958
273.8,0.8144936667,207.045,0.130505
273.7,-0.03498033333,207.431,0.136041
273.6,0.0792577,207.368,0.135146
273.5,0.860281,207.757,0.140723
273.4,0.5661136667,207.67,0.139472
273.3,0.252366,207.585,0.138252
273.2,0.1059138333,207.68,0.139618
273.1,2.066923333,207.698,0.139878
273,0.3105846667,207.782,0.14108
272.9,1.53556,207.445,0.136252
272.8,1.475334667,207.723,0.140236
272.7,0.7091356667,207.73,0.140333
272.6,0.3089626667,208.089,0.14548
272.5,0.9577766667,208.44,0.150507
272.4,1.629726667,207.691,0.13978
272.3,1.116126333,208.421,0.150231
272.2,1.328753667,207.661,0.139342
272.1,0.9785976667,207.849,0.142039
272,0.27227,208.154,0.146405
271.9,0.7442066667,207.605,0.138545
271.8,0.695285,206.811,0.127131
271.7,0.05780733333,207.672,0.139504
271.6,0.8527776667,207.653,0.139228
271.5,0.636958,207.52,0.137326
271.4,0.8170543333,207.229,0.133144
271.3,0.9629766667,207.397,0.135553
271.2,0.3771621667,207.707,0.140008
271.1,0.4651049333,207.416,0.135829
271,0.977084,207.364,0.135081
270.9,0.1102233333,208.246,0.147735
270.8,-0.7030306667,207.698,0.139878
270.7,0.4016647867,207.734,0.140398
270.6,0.1863847667,207.888,0.142607
270.5,0.5929084,207.801,0.141356
270.4,1.521005,208.603,0.152839
270.3,1.529458667,208.044,0.144831
