TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
278.4,357254.8055,139.3868397,0.158023
278.3,140008.2849,139.3440407,0.1570196667
278.2,321917.3596,139.242004,0.1548306667
278.1,395447.0273,139.1440783,0.154118
278,215032.782,139.344136,0.156599
277.9,262944.5686,139.0808667,0.1562706667
277.8,331490.6869,139.4502503,0.162099
277.7,-13385.33751,139.5453917,0.1587926667
277.6,377018.4771,139.3751063,0.157785
277.5,386654.5224,139.5786333,0.16066
277.4,159562.0623,139.280659,0.154395
277.3,316906.2733,139.0461933,0.1532213333
277.2,240283.1918,139.146009,0.1573576667
277.1,272551.9297,139.2762823,0.1562086667
277,619220.0864,139.1904387,0.1570393333
276.9,384423.0666,139.618674,0.1700523333
276.8,689436.1496,139.7140967,0.1639616667
276.7,512403.9636,139.4835897,0.159556
276.6,248021.4573,139.3610887,0.1582103333
276.5,96040.82849,139.361008,0.1533563333
276.4,33975.04098,139.6893053,0.160161
276.3,489481.0013,139.8354073,0.166366
276.2,-154950.529,138.9608773,0.1498686667
276.1,110999.702,139.1505313,0.1641993333
276,21882.13381,139.270488,0.1536956667
275.9,401475.488,138.9885113,0.1520496667
275.8,-2460.184771,139.1534837,0.1543513333
275.7,257209.4174,139.414818,0.1568516667
275.6,58887.51304,139.134514,0.152412
275.5,-36317.65758,138.9287317,0.1493593333
275.4,-497.7946655,139.3100057,0.1558603333
275.3,261405.6027,139.4307857,0.1526066667
275.2,31538.08672,139.305045,0.1544776667
275.1,156470.7197,139.228064,0.156043
275,516793.7714,139.3888833,0.155178
274.9,324055.5804,139.1246087,0.1537666667
274.8,274857.9943,139.0880273,0.156212
274.7,82234.09328,139.0679573,0.1560766667
274.6,-175512.4423,139.610015,0.1579123333
274.5,209861.4066,139.4170543,0.1580836667
274.4,335863.8057,138.955708,0.1512563333
274.3,365390.8508,139.2822603,0.1614666667
274.2,292014.4539,139.4173037,0.1563223333
274.1,392697.3625,139.0189673,0.156937
274,431064.0739,139.38979,0.1573613333
273.9,550277.7529,139.0575223,0.1534133333
273.8,-149240.4023,139.187763,0.1521793333
273.7,470278.647,139.1471517,0.1549433333
273.6,-98057.68142,139.1873957,0.1549696667
273.5,8629.235583,139.6430957,0.160017
273.4,385055.1334,139.569224,0.1616693333
273.3,57404.11265,139.3500783,0.158721
273.2,550769.93,139.3259007,0.153162
273.1,164698.1076,139.1315547,0.1575636667
273,198264.0441,139.440547,0.160339
272.9,379842.5719,139.3154167,0.159641
272.8,320081.806,139.747531,0.161945
272.7,-427814.6327,139.2847347,0.1592053333
272.6,-41145.8799,139.2498873,0.1609616667
272.5,273193.7118,139.4902207,0.1588996667
272.4,-74802.26494,139.4681473,0.1554933333
272.3,-21529.5783,139.388463,0.157041
272.2,155825.5104,139.3259907,0.1579746667
272.1,63223.66264,139.4972543,0.1581446667
272,113479.9285,139.4271663,0.1592953333
271.9,279784.0858,139.4782443,0.1641423333
271.8,409059.6036,138.887031,0.153741
271.7,343307.8528,139.672101,0.1612093333
271.6,45222.76859,139.3845873,0.1584896667
271.5,278156.3105,139.8168587,0.165962
271.4,-331476.084,139.298493,0.158887
271.3,-11317.09134,139.883938,0.1627756667
271.2,-106785.3822,139.6919527,0.166557
271.1,-154062.7626,139.3365737,0.1582596667
271,397757.7112,139.1326623,0.155058
270.9,-381985.0544,139.13757,0.1557996667
270.8,-311086.2763,139.335102,0.1567556667
270.7,-123787.7515,139.5916907,0.1614106667
270.6,167533.9592,139.0182603,0.1512853333
270.5,7574.638653,139.0852293,0.1539706667
270.4,331682.402,139.3388187,0.1582163333
270.3,396901.505,139.3312193,0.1565336667
270.2,332986.7382,139.717196,0.1643966667
270.1,-235000,139.4826493,0.1607043333
270,497779.4665,139.3004747,0.1600773333
269.9,186475.041,139.5131333,0.164018
269.8,733945.7607,139.604698,0.1612306667
269.7,53258.62763,139.7091223,0.1656793333
269.6,96962.74773,139.471101,0.1612383333
269.5,681306.8097,139.7677087,0.166276
269.4,638769.1849,140.0615227,0.168383
269.3,-18648.33855,139.722766,0.164716
269.2,248218.1791,139.4408427,0.162072
269.1,-92013.55983,139.4758913,0.1646056667
269,610105.9455,139.8436373,0.166709
268.9,390819.9523,139.6058537,0.1649163333
268.8,237745.1945,139.547117,0.164464
268.7,-35518.80495,139.765837,0.1668123333
268.6,-83658.47117,139.8843147,0.1674676667
268.5,202384.8905,139.3936923,0.1613113333
268.4,340187.9005,139.7148967,0.1644526667
268.3,609799.8808,139.517049,0.1635463333
268.2,494943.0785,139.869144,0.16992
268.1,32729.39949,139.719191,0.1694526667
268,-336839.8152,139.669156,0.1664696667
267.9,-124230.9939,139.8848947,0.1707553333
267.8,165912.0846,139.651902,0.1674863333
267.7,404127.5518,139.831499,0.168174
267.6,118514.5284,140.11645,0.1745203333
267.5,-85734.12308,139.8676103,0.1676666667
267.4,395614.8115,139.9788863,0.1697873333
267.3,-113622.858,140.125491,0.1738936667
267.2,296364.4762,139.715531,0.1674363333
267.1,114506.6324,139.9270793,0.1700546667
267,-46526.74713,139.930171,0.167326
266.9,143102.6847,139.966234,0.172436
266.8,285244.6729,139.8217513,0.1661886667
266.7,-239292.1025,140.607721,0.1825376667
266.6,196878.4086,140.024697,0.169198
266.5,71443.45105,139.8880337,0.171355
266.4,362271.4946,139.866966,0.1688456667
266.3,-144325.7339,140.1526407,0.1740083333
266.2,-334241.9908,140.4018477,0.174033
266.1,215844.1365,139.900088,0.1686016667
266,288109.3727,139.9978053,0.1726843333
265.9,178630.7555,140.336291,0.1746936667
265.8,84489.49486,139.8790573,0.169009
265.7,104344.9188,140.3702217,0.1771373333
265.6,145929.6677,140.1937383,0.1748196667
265.5,-170090.2339,140.057262,0.1767423333
265.4,-185549.3965,140.0601923,0.1741983333
265.3,-271005.8114,140.2069513,0.1815313333
265.2,78127.8498,140.065606,0.1749113333
