TITLE,KMGM_Additive&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:27:31,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.43344,,
MAXY,54.05992,,
MINY,-64.3879,,
XYDATA,,,
265.3,2.068914,209.0266667,0.1588766667
265.2,-0.07403266667,208.8553333,0.1564373333
265.1,0.7519516667,209,0.1584896667
265,1.65827,209.7453333,0.169117
264.9,-0.01095403333,208.9733333,0.1581106667
264.8,0.4560583333,208.825,0.1560043333
264.7,1.059535333,209.315,0.1629883333
264.6,1.232081667,209.061,0.1593746667
264.5,0.381482,209.4503333,0.164915
264.4,0.8063783333,209.4146667,0.1644116667
264.3,-0.2615042667,209.242,0.1619536667
264.2,0.1333096667,209.904,0.1713716667
264.1,-0.8231796667,209.396,0.1641406667
264,0.445135,210.1053333,0.1742363333
263.9,1.758996667,209.1443333,0.16056
263.8,0.3339186667,209.3433333,0.1633923333
263.7,0.454811,209.5503333,0.1663433333
263.6,0.0503238,209.7166667,0.1687126667
263.5,0.965271,209.5493333,0.1663263333
263.4,-0.2697038,208.607,0.1528816667
263.3,-0.2907162,209.2123333,0.161507
263.2,0.768616,210.2383333,0.176121
263.1,0.271799,209.7683333,0.1694523333
263,1.221172667,209.2763333,0.1624396667
262.9,0.6377343333,209.515,0.1658366667
262.8,-0.167551,210.4363333,0.178939
262.7,-0.1116613333,209.5656667,0.166566
262.6,0.3377423333,209.049,0.159201
262.5,0.5488095667,209.252,0.1620886667
262.4,0.83836,209.8103333,0.1700483333
262.3,0.8906823333,210.0443333,0.1733696667
262.2,0.5272923333,210.0903333,0.174027
262.1,0.496723,209.5553333,0.166408
262,0.23899,209.8473333,0.1705746667
261.9,1.432971,209.902,0.1713486667
