TITLE,Protein_AMSS,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,14:37:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,MOLAR ELLIPTICITY,,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.0788,,
MAXY,35.46646,,
MINY,-73.42445,,
XYDATA,,,
278.2,14658.51192,259.161,0.812259
278.1,6670.53868,258.727,0.807071
278,2325.370374,258.897,0.809104
277.9,2366.558015,258.276,0.801673
277.8,3880.635227,258.415,0.803342
277.7,-2702.224508,257.215,0.788945
277.6,3734.660312,258.842,0.808454
277.5,13356.2827,257.627,0.793886
277.4,6293.650621,258.42,0.803396
277.3,4816.624418,258.556,0.805024
277.2,18551.19743,257.807,0.796049
277.1,11660.44023,258.022,0.798631
277,3333.098118,258.139,0.80003
276.9,10686.09051,257.935,0.797585
276.8,-6297.599532,258.131,0.799935
276.7,20056.57844,258.036,0.798794
276.6,2732.393194,258.762,0.807491
276.5,1070.77462,257.843,0.796483
276.4,-1896.58331,257.721,0.795015
276.3,7786.386525,259.341,0.814411
276.2,-2565.972599,258.141,0.800057
276.1,3902.02177,257.78,0.795722
276,-2317.757525,258.55,0.804956
275.9,6163.551415,258.069,0.799188
275.8,6090.392521,258.252,0.801388
275.7,8051.149029,258.107,0.799649
275.6,7337.036173,258.318,0.802175
275.5,-1341.971633,257.919,0.797394
275.4,10529.86426,257.809,0.796076
275.3,6673.114745,259.118,0.811745
275.2,21806.06368,258.667,0.806353
275.1,4326.47996,256.632,0.781924
275,12266.04624,258.044,0.798889
274.9,13073.15256,258.899,0.809131
274.8,6449.707247,258.619,0.805783
274.7,16344.7603,258.096,0.799514
274.6,-4629.658856,258.623,0.805824
274.5,5747.547423,256.802,0.783971
274.4,8182.711549,257.363,0.790716
274.3,4993.246593,258.06,0.799079
274.2,12929.96314,257.602,0.793587
274.1,-2023.547362,257.497,0.792335
274,6968.419115,257.015,0.786534
273.9,9187.01057,256.496,0.780286
273.8,10840.00984,257.273,0.78964
273.7,3492.24195,257.713,0.79492
273.6,-193.2998784,259.147,0.812097
273.5,-1823.087424,257.697,0.79473
273.4,-7373.935649,258.401,0.803165
273.3,14578.62449,258.539,0.80482
273.2,-2424.719641,257.192,0.788659
273.1,-1174.977474,258.341,0.802446
273,8564.548187,257.788,0.795818
272.9,15082.55622,258.075,0.799269
272.8,1745.276234,255.819,0.772127
272.7,1770.344808,257.785,0.79579
272.6,5574.127802,257.531,0.792743
272.5,5781.400402,257.061,0.787092
272.4,2421.897051,257.779,0.795709
